id,category,idiom,meaning,options,answers,explanation
1,預見類,一葉知秋,從小徵兆可以預見未來的發展,"['月暈而風', '揮霍無度', '無懈可擊', '撥雲見日', '見微知著', '如魚得水']","['月暈而風', '見微知著']",透過小事物預見大趨勢的智慧
2,預見類,未雨綢繆,事先做好準備,"['洞燭先機', '得過且過', '安步當車', '臨渴掘井', '防患未然', '隨波逐流']","['洞燭先機', '防患未然']",提前準備、預防問題的處世態度
3,勤奮類,孜孜不倦,形容勤奮不懈的學習態度,"['廢寢忘食', '得過且過', '安步當車', '按部就班', '夜以繼日', '優柔寡斷']","['廢寢忘食', '夜以繼日']",形容專心致志、勤奮不懈的精神
4,勤奮類,筆耕不輟,持續不斷地寫作或工作,"['揮汗如雨', '馬馬虎虎', '敷衍了事', '汗馬功勞', '勤能補拙', '三心二意']","['揮汗如雨', '勤能補拙']",形容勤奮努力的工作態度
5,智慧類,舉一反三,從一件事情類推到其他相關的事,"['觸類旁通', '固步自封', '坐井觀天', '融會貫通', '學無止境', '故步自封']","['觸類旁通', '融會貫通']",形容善於推理和活學活用的能力
6,智慧類,深謀遠慮,考慮事情周密而深遠,"['運籌帷幄', '莽撞行事', '盲目從事', '決勝千里', '審時度勢', '魯莽從事']","['運籌帷幄', '審時度勢']",形容智慧謀略和深遠考慮
7,品德類,光明磊落,行事正直坦白,"['堂堂正正', '居心叵測', '口是心非', '正大光明', '心口如一', '陰險狡詐']","['堂堂正正', '正大光明']",形容為人處事光明正大
8,品德類,誠信為本,以誠實信用為行事準則,"['言而有信', '見風使舵', '見利忘義', '一諾千金', '信守承諾', '朝令夕改']","['言而有信', '一諾千金']",強調誠信的重要性
9,處世類,隨機應變,根據情況靈活處理,"['靈機一動', '固執己見', '我行我素', '臨機應變', '機變百出', '剛愎自用']","['靈機一動', '臨機應變']",形容能夠靈活處理各種情況
10,處世類,和光同塵,順應環境但不失本性,"['圓融處世', '特立獨行', '標新立異', '與世無爭', '順應自然', '離群索居']","['圓融處世', '與世無爭']",形容善於處世但保持本心

11,勤奮類,披荊斬棘,克服困難往前進,"['奮發圖強', '知難而退', '半途而廢', '戮力前行', '克服萬難', '畏首畏尾']","['奮發圖強', '克服萬難']",形容克服困難的奮鬥精神
12,勤奮類,埋頭苦幹,專心致志地工作,"['專心一志', '三心二意', '得過且過', '全心投入', '專注用功', '敷衍了事']","['專心一志', '全心投入']",形容專注和勤奮的工作態度
13,智慧類,舉一反三,從一件事推斷類似的事,"['觸類旁通', '固步自封', '膠柱鼓瑟', '活學活用', '靈活運用', '死讀書']","['觸類旁通', '活學活用']",形容善於舉一反三的學習能力
14,智慧類,醍醐灌頂,領悟真理,"['茅塞頓開', '一知半解', '霧裡看花', '豁然開朗', '恍然大悟', '一頭霧水']","['茅塞頓開', '豁然開朗']",形容突然明白道理
15,品德類,正直不阿,為人正直不阿諛,"['頂天立地', '諂媚奉承', '曲意逢迎', '剛正不阿', '堅持原則', '阿諛奉承']","['頂天立地', '剛正不阿']",形容正直的品格
16,品德類,謙虛謹慎,為人謙遜小心,"['虛懷若谷', '妄自尊大', '自高自大', '謹言慎行', '戒慎恐懼', '狂妄自大']","['虛懷若谷', '謹言慎行']",形容謙遜謹慎的態度
17,處世類,以和為貴,以和諧為重要原則,"['和氣生財', '針鋒相對', '劍拔弩張', '和睦相處', '與人為善', '爭強好勝']","['和氣生財', '與人為善']",強調和諧相處的重要
18,處世類,審時度勢,觀察形勢,"['明察秋毫', '盲目行事', '不顧後果', '觀察入微', '洞察先機', '莽撞行事']","['明察秋毫', '洞察先機']",形容善於觀察形勢
19,勤奮類,鍥而不捨,堅持不放棄,"['持之以恆', '半途而廢', '三分鐘熱度', '堅持不懈', '毅力過人', '朝三暮四']","['持之以恆', '堅持不懈']",形容持續努力不放棄的精神
20,智慧類,集思廣益,集合眾人智慧,"['博採眾議', '獨斷專行', '剛愎自用', '群策群力', '眾志成城', '我行我素']","['博採眾議', '群策群力']",形容集合眾人意見的智慧

21,品德類,推己及人,將心比心,"['善解人意', '自私自利', '唯我獨尊', '設身處地', '將心比心', '我行我素']","['善解人意', '設身處地']",形容能為他人著想的品德
22,處世類,見機行事,懂得把握時機,"['當機立斷', '猶豫不決', '優柔寡斷', '果斷行事', '把握時機', '畏首畏尾']","['當機立斷', '果斷行事']",形容善於把握時機行事
23,智慧類,融會貫通,完全理解並貫通,"['舉一反三', '一知半解', '囫圇吞棗', '觸類旁通', '通達明理', '斷章取義']","['舉一反三', '觸類旁通']",形容完全理解並能活用
24,品德類,風骨凜然,品格高尚剛正,"['氣節高尚', '趨炎附勢', '同流合污', '品格高潔', '氣節清高', '媚俗取寵']","['氣節高尚', '品格高潔']",形容品格高尚正直
25,勤奮類,精益求精,追求更好的境界,"['追求完美', '得過且過', '馬馬虎虎', '追求卓越', '力求進步', '敷衍了事']","['追求完美', '追求卓越']",形容不斷追求進步的精神
26,處世類,從善如流,樂於接受善意建議,"['虛心納諫', '固執己見', '我行我素', '樂於改進', '善於採納', '剛愎自用']","['虛心納諫', '樂於改進']",形容願意接受善意建議
27,智慧類,明察秋毫,觀察入微,"['洞燭先機', '粗心大意', '疏忽大意', '觀察入微', '細心謹慎', '馬虎行事']","['洞燭先機', '細心謹慎']",形容觀察細微的能力
28,品德類,仁民愛物,愛護人民和萬物,"['善待他人', '冷酷無情', '麻木不仁', '愛護生命', '慈悲為懷', '無情無義']","['善待他人', '慈悲為懷']",形容仁慈愛物的品德
29,勤奮類,勤能補拙,勤奮可彌補資質的不足,"['努力不懈', '怠惰懶散', '得過且過', '腳踏實地', '踏實苦幹', '敷衍了事']","['努力不懈', '腳踏實地']",強調勤奮的重要性
30,處世類,知己知彼,了解自己也了解對方,"['明察形勢', '盲目行事', '不知輕重', '洞察局勢', '料敵機先', '不知深淺']","['明察形勢', '洞察局勢']",形容了解情況的重要性